                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8992,                 5.2055,                 1.3436,                0.00484,                0.44055,                0.00591,                0.00466,                0.80148,                 4.2305,                  1.335,              0.0033289,              0.0033289,              0.0033289
                      2,                0.97594,                 4.8891,                   1.39,                0.00436,                0.81065,                0.01104,                0.00785,                0.93471,                 3.8212,                 1.4257,              0.0066556,              0.0066556,              0.0066556
                      3,                 1.1025,                 4.6717,                 1.4585,                0.32112,                0.05349,                0.01343,                0.00893,                 1.0923,                 3.8219,                 1.5954,              0.0099758,              0.0099758,              0.0099758
                      4,                 1.1351,                 4.4708,                 1.4502,                0.07812,                  0.381,                0.02272,                0.01496,                 1.0276,                  3.708,                 1.4943,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.1091,                 4.2437,                 1.4229,                0.56279,                0.06793,                0.04078,                0.02876,                0.89669,                 3.2479,                 1.3685,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.0726,                 4.0045,                 1.3827,                0.33128,                0.16222,                0.05371,                0.03878,                0.87066,                 3.2269,                 1.3635,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.0591,                 3.8226,                  1.367,                0.27801,                0.18742,                0.07027,                0.05108,                 0.8751,                 2.9914,                 1.3388,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0312,                 3.6489,                  1.343,                0.30323,                0.20113,                0.07496,                0.05701,                0.79597,                 2.9756,                 1.2824,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0015,                 3.4666,                 1.3245,                0.23185,                0.23123,                0.09777,                0.07566,                0.78312,                 2.7701,                 1.2543,              0.0099208,              0.0099208,              0.0099208
                     10,                0.99123,                 3.3553,                 1.3144,                 0.2411,                0.26247,                0.11542,                0.08786,                0.78437,                 2.6704,                 1.2573,              0.0099109,              0.0099109,              0.0099109
                     11,                0.98972,                 3.2337,                 1.3132,                0.22939,                  0.285,                0.13554,                0.10553,                0.76001,                 2.5727,                 1.2445,               0.009901,               0.009901,               0.009901
                     12,                0.97246,                 3.1246,                 1.3023,                0.22124,                0.30965,                0.15577,                0.12299,                  0.744,                 2.5072,                 1.2273,              0.0098911,              0.0098911,              0.0098911
                     13,                0.95273,                 3.0369,                 1.2904,                0.27239,                 0.3154,                0.17437,                0.13679,                0.74001,                 2.4616,                 1.2183,              0.0098812,              0.0098812,              0.0098812
                     14,                0.93949,                  2.933,                 1.2781,                0.27347,                0.33015,                0.19049,                0.15072,                0.74533,                 2.3913,                 1.2258,              0.0098713,              0.0098713,              0.0098713
                     15,                 0.9375,                 2.8751,                 1.2749,                0.24366,                0.35963,                0.21733,                0.17342,                0.70964,                  2.303,                 1.2035,              0.0098614,              0.0098614,              0.0098614
                     16,                0.93388,                 2.8246,                 1.2773,                0.25113,                0.36694,                 0.2235,                 0.1804,                0.68957,                 2.3008,                 1.1825,              0.0098515,              0.0098515,              0.0098515
                     17,                0.91801,                 2.7437,                 1.2624,                0.24283,                0.40714,                0.24991,                0.20139,                0.69074,                 2.1952,                 1.1808,              0.0098416,              0.0098416,              0.0098416
                     18,                0.89891,                 2.6873,                 1.2569,                0.28779,                0.37955,                0.26721,                0.21347,                0.70142,                 2.1431,                 1.1879,              0.0098317,              0.0098317,              0.0098317
                     19,                0.89358,                 2.6311,                 1.2494,                0.27852,                  0.412,                0.28658,                 0.2323,                0.67971,                 2.1152,                 1.1622,              0.0098218,              0.0098218,              0.0098218
                     20,                0.88669,                 2.5879,                 1.2453,                0.25234,                0.44633,                0.30293,                0.24455,                0.67344,                 2.0557,                 1.1647,              0.0098119,              0.0098119,              0.0098119
                     21,                0.88176,                 2.5446,                 1.2404,                0.29613,                0.44903,                 0.3341,                0.27065,                0.66729,                 1.9799,                 1.1563,               0.009802,               0.009802,               0.009802
                     22,                0.88236,                 2.5062,                 1.2453,                 0.2975,                 0.4665,                0.34666,                0.28108,                0.66424,                 1.9481,                 1.1548,              0.0097921,              0.0097921,              0.0097921
                     23,                0.88373,                 2.4743,                 1.2353,                0.32247,                0.44363,                0.35394,                0.28883,                0.67076,                 1.9229,                 1.1545,              0.0097822,              0.0097822,              0.0097822
                     24,                0.87016,                 2.4246,                 1.2355,                0.34523,                0.47585,                0.38408,                0.31226,                0.65651,                 1.8534,                 1.1425,              0.0097723,              0.0097723,              0.0097723
                     25,                0.85784,                  2.396,                 1.2264,                0.32113,                0.47587,                0.39184,                0.32089,                0.64411,                 1.8484,                 1.1395,              0.0097624,              0.0097624,              0.0097624
                     26,                0.85948,                  2.348,                 1.2252,                0.36468,                0.47983,                0.40127,                 0.3296,                0.64473,                 1.8187,                 1.1362,              0.0097525,              0.0097525,              0.0097525
                     27,                0.86495,                 2.3249,                 1.2351,                0.38306,                0.49113,                0.42062,                0.34775,                0.63281,                 1.7592,                 1.1188,              0.0097426,              0.0097426,              0.0097426
                     28,                0.85154,                 2.2975,                 1.2223,                 0.3828,                0.50313,                0.44183,                0.36328,                0.64987,                  1.709,                 1.1353,              0.0097327,              0.0097327,              0.0097327
                     29,                0.85466,                 2.2451,                 1.2205,                0.39612,                0.50807,                0.45322,                0.37217,                0.63548,                  1.707,                 1.1339,              0.0097228,              0.0097228,              0.0097228
                     30,                0.84003,                 2.2204,                  1.213,                0.40733,                 0.5174,                0.46414,                0.38419,                0.63548,                 1.6841,                 1.1263,              0.0097129,              0.0097129,              0.0097129
                     31,                0.83917,                 2.1921,                 1.2142,                0.41345,                0.52941,                0.47272,                0.39164,                0.62108,                 1.6407,                 1.1218,               0.009703,               0.009703,               0.009703
                     32,                0.83758,                 2.1775,                 1.2131,                0.43109,                0.53811,                0.48093,                0.39979,                  0.625,                 1.6502,                 1.1173,              0.0096931,              0.0096931,              0.0096931
                     33,                0.82748,                 2.1392,                 1.2055,                0.43693,                0.53821,                0.49466,                0.40937,                0.62987,                 1.6183,                 1.1219,              0.0096832,              0.0096832,              0.0096832
                     34,                0.83191,                 2.1145,                 1.2053,                0.47304,                0.55115,                0.52176,                0.43202,                0.62046,                 1.5469,                 1.1162,              0.0096733,              0.0096733,              0.0096733
                     35,                0.82961,                 2.0964,                 1.2052,                0.46655,                0.54647,                 0.5223,                0.43274,                0.63328,                 1.5302,                  1.122,              0.0096634,              0.0096634,              0.0096634
                     36,                0.81789,                 2.0391,                 1.1952,                0.46989,                0.55753,                0.53954,                0.44911,                0.61556,                 1.5292,                   1.11,              0.0096535,              0.0096535,              0.0096535
                     37,                0.81411,                 2.0379,                 1.1976,                0.46836,                0.57172,                0.54601,                0.45288,                0.62157,                 1.4867,                  1.117,              0.0096436,              0.0096436,              0.0096436
                     38,                0.81253,                 2.0025,                 1.1941,                0.48261,                 0.5701,                0.55348,                0.46331,                0.60897,                 1.4414,                 1.1045,              0.0096337,              0.0096337,              0.0096337
                     39,                0.80993,                 1.9722,                 1.1939,                0.52231,                0.57439,                0.57769,                0.48177,                0.61069,                 1.4193,                 1.1075,              0.0096238,              0.0096238,              0.0096238
                     40,                0.81546,                 1.9939,                 1.2017,                0.53198,                0.57694,                0.58443,                 0.4884,                0.60639,                 1.4114,                 1.1046,              0.0096139,              0.0096139,              0.0096139
                     41,                0.81387,                 1.9472,                  1.193,                0.49885,                0.59622,                0.58587,                0.49263,                0.59933,                 1.3987,                 1.1002,               0.009604,               0.009604,               0.009604
                     42,                0.81082,                 1.9409,                 1.1868,                0.54343,                0.57897,                0.59118,                0.49516,                 0.6038,                 1.3991,                 1.1029,              0.0095941,              0.0095941,              0.0095941
                     43,                0.80128,                 1.9321,                 1.1901,                0.54649,                0.58171,                0.59529,                0.49838,                0.60218,                 1.3648,                 1.1054,              0.0095842,              0.0095842,              0.0095842
                     44,                0.79827,                 1.8967,                  1.186,                0.55471,                0.58814,                0.60643,                 0.5118,                0.58605,                 1.3483,                 1.0919,              0.0095743,              0.0095743,              0.0095743
                     45,                0.79232,                 1.8708,                 1.1837,                0.55855,                0.59253,                0.61675,                0.51695,                0.59844,                 1.3254,                 1.0965,              0.0095644,              0.0095644,              0.0095644
                     46,                0.79123,                 1.8617,                 1.1839,                0.53474,                0.61029,                0.61658,                0.51899,                0.59176,                 1.3169,                 1.0921,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.7931,                 1.8258,                 1.1817,                0.56336,                 0.6178,                 0.6336,                0.53583,                0.58696,                 1.2868,                 1.0878,              0.0095446,              0.0095446,              0.0095446
                     48,                0.78603,                 1.8052,                  1.174,                0.57267,                0.61307,                0.63495,                0.53572,                0.58902,                 1.2751,                 1.0888,              0.0095347,              0.0095347,              0.0095347
                     49,                0.78435,                  1.805,                 1.1755,                0.57387,                  0.623,                0.63821,                0.53935,                0.58693,                 1.2649,                 1.0859,              0.0095248,              0.0095248,              0.0095248
                     50,                0.79258,                  1.788,                 1.1802,                0.58223,                0.62295,                0.64449,                0.54419,                0.58643,                 1.2579,                 1.0846,              0.0095149,              0.0095149,              0.0095149
                     51,                0.78253,                 1.7853,                 1.1777,                0.58815,                0.62486,                0.65666,                0.55558,                0.57741,                 1.2427,                 1.0816,               0.009505,               0.009505,               0.009505
                     52,                 0.7927,                 1.7624,                 1.1785,                0.60449,                0.64257,                0.66724,                0.56365,                0.58665,                 1.2124,                  1.087,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.7809,                 1.7411,                 1.1728,                0.61427,                0.62454,                0.66277,                0.56188,                 0.5808,                 1.2073,                 1.0837,              0.0094852,              0.0094852,              0.0094852
                     54,                0.78196,                 1.7375,                 1.1723,                0.61407,                0.63429,                0.67454,                0.57011,                0.58202,                 1.1907,                 1.0838,              0.0094753,              0.0094753,              0.0094753
                     55,                0.77619,                 1.7264,                 1.1725,                0.60784,                0.63769,                0.67042,                 0.5678,                 0.5794,                 1.2024,                 1.0788,              0.0094654,              0.0094654,              0.0094654
                     56,                0.77551,                 1.7038,                  1.175,                0.59689,                0.64817,                0.67225,                0.57067,                0.57718,                 1.1845,                 1.0785,              0.0094555,              0.0094555,              0.0094555
                     57,                0.76975,                 1.6875,                 1.1657,                0.61975,                 0.6481,                0.67868,                0.57543,                0.57388,                 1.1764,                 1.0768,              0.0094456,              0.0094456,              0.0094456
                     58,                0.77855,                 1.7075,                 1.1717,                0.61923,                0.65911,                0.68804,                0.58573,                0.57351,                  1.139,                 1.0752,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.7642,                 1.6552,                 1.1627,                0.65525,                0.64466,                0.69065,                0.58722,                0.56604,                 1.1487,                 1.0753,              0.0094258,              0.0094258,              0.0094258
                     60,                0.78056,                 1.6979,                 1.1711,                0.65485,                0.65931,                0.70139,                 0.5979,                0.56596,                 1.1177,                 1.0704,              0.0094159,              0.0094159,              0.0094159
                     61,                0.75847,                 1.6285,                 1.1582,                0.65068,                0.65942,                0.70124,                  0.598,                0.56571,                 1.1185,                 1.0687,               0.009406,               0.009406,               0.009406
                     62,                0.76295,                 1.6334,                 1.1677,                0.65604,                0.65351,                0.70435,                0.59898,                0.56577,                 1.1139,                 1.0717,              0.0093961,              0.0093961,              0.0093961
                     63,                0.76685,                 1.6049,                 1.1634,                0.64439,                0.65791,                0.70516,                0.59934,                0.57013,                 1.1103,                 1.0734,              0.0093862,              0.0093862,              0.0093862
